"Edad","esc_bajo","esc_medio","esc_alto","NA","alta","baja","media","mx_bajo","mx_medio","mx_alto","mx_st","esc_totales","totales","prop_alto","prop_medio","prop_bajo","mx_bajo_1","mx_bajo_2","mx_bajo_3","mx_medio_1","mx_medio_2","mx_medio_3","mx_alto_1","mx_alto_2","mx_alto_3","mx_st_1","mx_st_2","mx_st_3"
60,34478,43279,18442,3392,39,179,293,0.00519171645687105,0.00677002703389635,0.00211473809782019,0.00531190552916351,96199,511,0.191706774498695,0.449890331500327,0.358402894000977,0.00537140465936348,0.00533265450991476,0.00535705984306438,0.00687459501454194,0.00693765285068553,0.00699153081416544,0.00198360969665859,0.00205289184817966,0.00207041323090279,0.00539795562261666,0.00542361058132909,0.00545757269049506
61,33676,38990,17210,3188,32,204,298,0.00605772657085164,0.00764298538086689,0.00185938407902382,0.00594151942676577,89876,534,0.191486047443144,0.433819929680894,0.374694022875962,0.00597102231458093,0.00603699085727923,0.00602879910567758,0.00759855645906096,0.00763982137786175,0.00768888613721005,0.00221741624463145,0.00224015069315792,0.00227490672139477,0.00595932856431378,0.00600409250681757,0.00602638350146861
62,32865,35311,16056,3246,43,219,296,0.00666362391602008,0.00838265696241964,0.00267812655705032,0.00662456073701206,84232,558,0.190616392819831,0.419211226137335,0.390172381042834,0.00676854559789327,0.00671675194983875,0.00674323368515126,0.00844631265998235,0.00848918418308286,0.00852195268462197,0.00251942613818373,0.00253167762284674,0.00254209496149291,0.00665499333352227,0.00665144741625918,0.00667730718479312
63,33754,33071,15890,3448,48,256,308,0.00758428630680808,0.00931329563666052,0.00302076777847703,0.00739889983678897,82715,612,0.192105422232969,0.399818654415765,0.408075923351266,0.00741068793704207,0.00747595824833581,0.00747661177612276,0.00942268343020526,0.00943685249292129,0.0094766159301264,0.00285819048572506,0.00285445656847407,0.00284559806253955,0.00734002035094148,0.00737638163130261,0.00739349626144665
64,32815,29890,14953,3399,43,262,316,0.00798415358829803,0.0105720976915356,0.00287567712164783,0.00799660047902341,77658,621,0.192549383192974,0.38489273481161,0.422557881995416,0.00824864121007209,0.00823712513019373,0.00826515370475919,0.0104415613885763,0.0105038111143751,0.0105002208502101,0.00318575308151342,0.00315065999629784,0.00316434600610446,0.00813413120944408,0.00815265973677815,0.00817306890220706
65,31817,27187,13385,3475,49,292,311,0.00917748373511016,0.0114392908375326,0.00366081434441539,0.00900689331251986,72389,652,0.184903783724046,0.375568111177113,0.439528105098841,0.00905204624346704,0.00908237773574802,0.00908900275002185,0.0116471885243436,0.0115599989433341,0.0115707651525155,0.00340803642165504,0.00348792145354148,0.00348566530690311,0.0089838276499489,0.0089901653385404,0.00900369824936953
66,30917,25135,12203,3633,45,309,325,0.00999450140699292,0.0129301770439626,0.00368761779890191,0.00994798915830342,68255,679,0.178785436964325,0.368251410153102,0.452963152882573,0.00994644575370491,0.0099475053841238,0.0100161120008431,0.0125912469170823,0.0126484853998375,0.0126219163580553,0.00386997485745599,0.00381841447087,0.00385236935628219,0.00985253715622822,0.00986826967279005,0.00990478387694999
67,31123,24246,11029,3670,47,332,325,0.0106673521190117,0.0134042728697517,0.00426149242905068,0.0106027289978614,66398,704,0.166104400734962,0.36516160125305,0.468733998011988,0.0108440241551995,0.0110184528826574,0.0111209348365064,0.0137070207580866,0.0136572647309942,0.0136604976863556,0.00417723213349898,0.00425077214443507,0.00422472684885304,0.010768444212193,0.0108559166195195,0.0109062123273581
68,30328,22588,10038,3954,46,360,334,0.0118702189395938,0.0147866123605454,0.00458258617254433,0.0117546144804143,62954,740,0.159449756965403,0.358801664707564,0.481748578327032,0.0122648887390677,0.0123968462427381,0.0125148246889099,0.0146735265178137,0.0146757429282351,0.0146850067418639,0.00470510944235025,0.00460499393125405,0.00463911781312707,0.0119467684901373,0.0119944506897647,0.0120664296227153
69,29950,21984,9106,3975,48,427,348,0.0142570951585977,0.0158296943231441,0.00527124972545574,0.0134829619921363,61040,823,0.149180865006553,0.360157273918742,0.490661861074705,0.0140816258339472,0.0141291749413343,0.0141697964817698,0.0156466815088049,0.0157220125663625,0.0157250164213196,0.00493264021791292,0.0050615873636921,0.00504809666682884,0.0132681393669636,0.0133489215588618,0.0133718107776386
70,29533,20461,8495,4235,42,476,334,0.0161175634036502,0.0163237378427252,0.00494408475573867,0.0145668416283404,58489,852,0.14524098548445,0.349826463095625,0.504932551419925,0.016041010250988,0.0159833682612371,0.0160131566877911,0.0168458296724688,0.0167772937693612,0.0168787512724241,0.00554701243081313,0.00547770870554037,0.00556785163850284,0.0148318568194845,0.0147720600842892,0.0148431382859264
71,28566,19419,7470,4222,48,507,357,0.0177483721907162,0.0183840568515372,0.00642570281124498,0.0164457668379767,55455,912,0.134703813903165,0.350175818230998,0.515120367865837,0.017827468698776,0.0179269268608018,0.0179306307679779,0.01783937012681,0.0181369474815487,0.0182057987458616,0.00595347346789508,0.00616425884627605,0.00614463895427613,0.0162161840664195,0.016408433214628,0.0164371686535136
72,27273,18341,6779,4179,44,535,345,0.0196164705019616,0.0188103156861676,0.00649063283670158,0.0176359437329414,52393,924,0.129387513599145,0.350065848491211,0.520546637909644,0.0199123016326413,0.0198815971818948,0.0199580665645853,0.0197256426453672,0.0197031549866748,0.0198424594538251,0.00699229064011993,0.00679194931101198,0.00685267753351531,0.0181772587579802,0.0181310126616235,0.0182345113743563
73,25657,16968,6079,4187,49,574,373,0.0223720622052461,0.021982555398397,0.00806053627241323,0.0204500657030223,48704,996,0.124815210249671,0.348390275952694,0.526794513797635,0.0219050212142672,0.0220656756510593,0.0220691928757425,0.0215444521878472,0.0216872758932519,0.0217802984520359,0.00743008382502095,0.00760182444325789,0.00759109119841629,0.0199995951604708,0.0201640882468173,0.0202005792155192
74,25246,16149,5427,4314,42,599,385,0.0237265309355938,0.023840485478977,0.00773908236594804,0.0219127760454487,46822,1026,0.1159070522404,0.344901969159797,0.539190978599803,0.0243797041062694,0.0242603057942734,0.0243609858925355,0.0237917328465411,0.0239504644761811,0.0240800634693382,0.00838309886463278,0.00837949984097899,0.00848919810052619,0.022315410822001,0.0223066367381166,0.0224206807815623
75,24038,14715,4813,4360,45,650,376,0.0270405191779682,0.0255521576622494,0.00934967795553709,0.024583390717532,43566,1071,0.110476059312308,0.337763393471974,0.551760547215719,0.0264961920622838,0.0267569762322737,0.026907236805519,0.026515208394155,0.0266024500385816,0.0268329979850978,0.00932531683328324,0.00948627001734168,0.00962833326389291,0.024604904231878,0.0247913173597531,0.0249689306068357
76,23223,13531,4317,4444,47,667,408,0.0287215260732894,0.0301529820412386,0.0108871901783646,0.0273185459326532,41071,1122,0.105110662024299,0.329453872562148,0.565435465413552,0.029395032528268,0.0297044283900099,0.029963828749361,0.0295004088750488,0.0299460794405308,0.0300401000008901,0.010750394354109,0.0110192299333581,0.01107732430159,0.0274536370253802,0.0278088377226375,0.0279897112969509
77,21898,12471,3912,4336,47,710,409,0.0324230523335464,0.0327960869216582,0.0120143149284254,0.0304589744259554,38281,1166,0.102191687782451,0.325775188735926,0.572033123481623,0.033222060579478,0.0334300816257993,0.0337114092931678,0.0338226210523885,0.033571770523558,0.033673117628202,0.0129819786126819,0.0127264729540702,0.0127486471244009,0.0313679719106544,0.0313689788084619,0.0315670787775985
78,19210,10748,3241,4082,52,740,414,0.0385216033315981,0.0385187941942687,0.0160444307312558,0.0363263953733546,33199,1206,0.0976234223922407,0.323744691105154,0.578631886502606,0.0376731517696519,0.0379997178636943,0.0382060156127881,0.0373922816432367,0.0375015029205174,0.0373484299650396,0.0144470458954197,0.0145002384857744,0.0143189090733534,0.0352853274893512,0.0355234198016959,0.0355739852254861
